#Name	Orbits	Mass(kg)	Diam(m)	Perihelion(m)	Aphelion(m)	orbPeriod(days)	rotationalPeriod(hours)	axialtilt(deg)	orbinclin(deg)
Sun	NaN	1.9891e+30	1.391684e+09	0	0	0	587.28	0	0
Body1	Sun	6.5537e+25	3.950831e+07	2.158637e+12	2.619094e+12	23311.08	62.15	11.96	21.95
Body2	Sun	2.4104e+26	4.700546e+07	2.888111e+12	4.032158e+12	40636.33	158.41	26.85	1.23
Body3	Sun	8.1917e+27	1.576985e+08	5.761536e+12	6.029791e+12	90380.33	224.17	18.94	26.98
Body4	Sun	7.7363e+27	1.475409e+08	2.140078e+11	2.650435e+11	740.12	512.43	34.87	15.17
Body5	Sun	4.2928e+27	1.282968e+08	4.843480e+11	5.567238e+11	2371.11	580.35	87.35	6.92
Body6	Sun	2.7402e+27	1.684789e+08	4.387505e+12	4.773387e+12	61892.29	728.00	57.32	1.81
Body7	Sun	9.5571e+27	1.773737e+08	7.886134e+11	1.080635e+12	5704.67	203.56	1.54	23.92
Body8	Sun	9.4864e+26	8.349435e+07	1.590881e+12	1.833975e+12	14147.95	135.59	10.46	11.71
Body9	Sun	7.4721e+27	1.502850e+08	5.640302e+12	6.073967e+12	89495.81	849.23	80.19	27.38
Body10	Sun	3.2088e+27	1.395401e+08	1.672312e+12	1.815810e+12	14541.77	596.69	27.91	4.98
Body11	Sun	3.9677e+26	8.219069e+07	1.999719e+12	2.149539e+12	18866.25	248.59	24.34	2.48
Body12	Sun	8.9539e+27	1.770349e+08	3.614810e+12	4.636561e+12	52907.73	98.23	16.11	0.11
Body13	Sun	9.4851e+27	2.063992e+08	7.627218e+11	1.107178e+12	5707.65	430.37	76.74	1.71
Body14	Sun	6.1875e+27	1.676687e+08	5.178400e+12	5.661090e+12	79660.53	133.53	31.78	22.07
Body15	Sun	7.1715e+27	1.464515e+08	6.418705e+10	8.135871e+10	123.95	217.82	44.00	23.14
Body16	Sun	2.5850e+27	1.006556e+08	5.381520e+12	5.747835e+12	82877.17	870.79	51.76	16.54
Body17	Sun	5.1085e+27	1.853113e+08	3.389928e+12	4.885675e+12	53140.95	308.13	46.60	12.33
Body18	Sun	4.1657e+27	1.344298e+08	3.485407e+12	4.672648e+12	52012.75	477.45	22.41	27.76
Body19	Sun	3.2866e+27	1.623874e+08	1.704983e+12	2.326800e+12	18070.72	848.55	43.04	2.92
Body20	Sun	4.3847e+27	1.898085e+08	5.475588e+12	6.070668e+12	87577.32	698.86	84.39	20.90
Body21	Sun	3.9493e+26	6.557356e+07	4.865072e+12	7.005746e+12	91295.82	197.70	44.77	19.69
Body22	Sun	2.2542e+27	1.093638e+08	4.521553e+12	5.860554e+12	74672.06	607.13	41.24	13.96
Body23	Sun	6.9950e+27	1.624631e+08	6.772672e+11	8.769353e+11	4325.05	391.80	30.74	4.39
Body24	Sun	4.7570e+27	1.281424e+08	2.243716e+12	2.848954e+12	25653.60	807.44	18.93	18.79
Body25	Sun	9.7705e+27	2.545118e+08	3.931219e+12	4.167417e+12	51445.54	831.46	8.02	14.16
Body26	Sun	2.5569e+27	1.233635e+08	1.360146e+12	1.732592e+12	12140.72	926.00	29.89	2.06
